Repeat, dataset, non-iid-strategy, normalize, sample_size, B, C, E, beta1, beta2, eta, max_rounds, mu, name, opt_name, sparsity, tau, embedding_dim, hidden_units, loss, metrics, name, lr, enable_gpu, num_containers, num_gpu, central_train$$test_accuracy, best_metric$$test_binary_accuracy, total_time, total_rounds, server_send, server_receive, time_detail
3, femnist, natural, True, None, 64, 1.0, 100, 0.9, 0.99, 1.0, 1, 0.01, LocalCentral, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], LeNet, 0.0001, True, 20, 2, 0.04859(0.00075), 0.01740(0.00044), 39.16667(0.95772), 1.00000(0.00000), 0.40447(0.00073), 0.54719(0.00089), 0.03681(0.01864), 23.27399(0.57472), 0.01153(0.00097), 0.01595(0.00196), 0.01264(0.00185), 0.18792(0.00685), 0.02243(0.00159), 0.00538(0.00085)
1, celeba, natural, True, None, 1000, 1.0, 1, 0.9, 0.99, 1.0, 100, 0.01, FedSGD, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], LeNet, 0.0001, True, 80, 8, NA(NA), 0.48327(0.00000), 317.86667(0.00000), 100.00000(0.00000), 340.64571(0.00000), 463.12385(0.00000), 0.19194(0.00000), 0.11269(0.00000), 1.51499(0.00000), 2.89500(0.00000), 0.14240(0.00000), 0.73857(0.00000), 0.39848(0.00000), 0.04393(0.00000)
1, mnist, average, True, 600, 1000, 1.0, 1, 0.9, 0.99, 1.0, 100, 0.01, FedSGD, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.0001, True, 20, 2, NA(NA), 0.05333(0.00000), 16.43333(0.00000), 100.00000(0.00000), 25.50169(0.00000), 34.55339(0.00000), 0.02657(0.00000), 0.13841(0.00000), 1.07706(0.00000), 0.14027(0.00000), 0.02524(0.00000), 0.52539(0.00000), 0.01952(0.00000), 0.00299(0.00000)
1, mnist, average, True, 600, 1000, 1.0, 1, 0.9, 0.99, 1.0, 100, 0.01, FedSGD, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.0003, True, 20, 2, NA(NA), 0.16317(0.00000), 16.51667(0.00000), 100.00000(0.00000), 25.49896(0.00000), 34.55185(0.00000), 0.02746(0.00000), 0.13755(0.00000), 1.08090(0.00000), 0.14566(0.00000), 0.02534(0.00000), 0.52846(0.00000), 0.01971(0.00000), 0.00317(0.00000)
1, mnist, average, True, 600, 1000, 1.0, 1, 0.9, 0.99, 1.0, 100, 0.01, FedSGD, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.0005, True, 20, 2, NA(NA), 0.07567(0.00000), 16.48333(0.00000), 100.00000(0.00000), 25.49966(0.00000), 34.55466(0.00000), 0.02727(0.00000), 0.13769(0.00000), 1.08005(0.00000), 0.14688(0.00000), 0.02532(0.00000), 0.52769(0.00000), 0.01957(0.00000), 0.00292(0.00000)
1, mnist, average, True, 600, 1000, 1.0, 1, 0.9, 0.99, 1.0, 100, 0.01, FedSGD, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.0007, True, 20, 2, NA(NA), 0.11800(0.00000), 16.46667(0.00000), 100.00000(0.00000), 25.50089(0.00000), 34.55313(0.00000), 0.02643(0.00000), 0.13955(0.00000), 1.07813(0.00000), 0.14138(0.00000), 0.02565(0.00000), 0.52114(0.00000), 0.01867(0.00000), 0.00305(0.00000)
1, mnist, average, True, 600, 1000, 1.0, 1, 0.9, 0.99, 1.0, 100, 0.01, FedSGD, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.0009, True, 20, 2, NA(NA), 0.08983(0.00000), 16.46667(0.00000), 100.00000(0.00000), 25.50094(0.00000), 34.55314(0.00000), 0.02714(0.00000), 0.13814(0.00000), 1.07793(0.00000), 0.14275(0.00000), 0.02513(0.00000), 0.52666(0.00000), 0.01967(0.00000), 0.00324(0.00000)
1, mnist, average, True, 600, 1000, 1.0, 1, 0.9, 0.99, 1.0, 100, 0.01, FedSGD, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.001, True, 20, 2, NA(NA), 0.14917(0.00000), 16.46667(0.00000), 100.00000(0.00000), 25.49981(0.00000), 34.55261(0.00000), 0.02647(0.00000), 0.13856(0.00000), 1.07736(0.00000), 0.14476(0.00000), 0.02541(0.00000), 0.52377(0.00000), 0.01918(0.00000), 0.00334(0.00000)
1, mnist, average, True, 600, 1000, 1.0, 1, 0.9, 0.99, 1.0, 100, 0.01, FedSGD, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.003, True, 20, 2, NA(NA), 0.20367(0.00000), 16.53333(0.00000), 100.00000(0.00000), 25.49925(0.00000), 34.55255(0.00000), 0.02670(0.00000), 0.13835(0.00000), 1.08088(0.00000), 0.14175(0.00000), 0.02527(0.00000), 0.52742(0.00000), 0.01937(0.00000), 0.00325(0.00000)
1, mnist, average, True, 600, 1000, 1.0, 1, 0.9, 0.99, 1.0, 100, 0.01, FedSGD, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.005, True, 20, 2, NA(NA), 0.22533(0.00000), 16.50000(0.00000), 100.00000(0.00000), 25.49938(0.00000), 34.55273(0.00000), 0.02680(0.00000), 0.13758(0.00000), 1.08023(0.00000), 0.14173(0.00000), 0.02487(0.00000), 0.52835(0.00000), 0.01962(0.00000), 0.00310(0.00000)
1, mnist, average, True, 600, 1000, 1.0, 1, 0.9, 0.99, 1.0, 100, 0.01, FedSGD, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.007, True, 20, 2, NA(NA), 0.41267(0.00000), 16.51667(0.00000), 100.00000(0.00000), 25.50054(0.00000), 34.55353(0.00000), 0.02755(0.00000), 0.13777(0.00000), 1.08135(0.00000), 0.14036(0.00000), 0.02501(0.00000), 0.52897(0.00000), 0.02000(0.00000), 0.00302(0.00000)
2, femnist, natural, True, None, 64, 1.0, 100, 0.9, 0.99, 1.0, 1, 0.01, LocalCentral, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], LeNet, 0.0003, True, 20, 2, 0.78196(0.01136), 0.01915(0.00074), 40.05833(0.07500), 1.00000(0.00000), 0.40514(0.00006), 0.54800(0.00008), 0.01814(0.00794), 23.81367(0.04295), 0.01190(0.00015), 0.01490(0.00040), 0.01244(0.00055), 0.19515(0.00013), 0.02151(0.00055), 0.00601(0.00017)
1, mnist, average, True, 600, 1000, 1.0, 1, 0.9, 0.99, 1.0, 100, 0.01, FedSGD, fedyogi, 0.01, 0.0001, None, None, categorical_crossentropy, ['accuracy'], MLP, 0.009, True, 20, 2, NA(NA), 0.41517(0.00000), 16.48333(0.00000), 100.00000(0.00000), 25.50016(0.00000), 34.55331(0.00000), 0.02748(0.00000), 0.13840(0.00000), 1.07781(0.00000), 0.14032(0.00000), 0.02524(0.00000), 0.52742(0.00000), 0.01931(0.00000), 0.00300(0.00000)
