dataset, lr, local_loss, local_binary_accuracy, central_loss, central_binary_accuracy
semantic140, 0.001, 0.6344232121109963, 0.6258818604797127, 0.49464261531829834, 0.7525915503501892
semantic140, 0.005, 0.6013665174599737, 0.6415689124912026, 0.47453033924102783, 0.7753973603248596
semantic140, 0.01, 0.6368160045146946, 0.6321468686312435, 0.472526878118515, 0.7601935267448425
semantic140, 0.05, 0.5668250488745978, 0.7037655423581604, 0.47129032015800476, 0.7733241319656372
semantic140, 0.1, 0.626014649309218, 0.7064292618632323, 0.4983617663383484, 0.7498272061347961
semantic140, 0.5, 0.5675419554626574, 0.7220011362433435, 0.4783662259578705, 0.7691776156425476
semantic140, 1.0, 0.6033467784212555, 0.7064363148808482, 0.4776085317134857, 0.7677954435348511
semantic140, 1e-04, 0.6353449362516408, 0.7086826714873314, 0.5380380749702454, 0.7159640789031982
semantic140, 0.0005, 0.6171578851342202, 0.7081585520505906, 0.4744229316711426, 0.7629578709602356
semantic140, 0.001, 0.6024513822793965, 0.7174417692422869, 0.5194167494773865, 0.7442985773086548
semantic140, 0.005, 0.6063144203275442, 0.6273538823425772, 0.4815685749053955, 0.7636489272117615
semantic140, 0.01, 0.6003337886370719, 0.7066290456056599, 0.4783845841884613, 0.7615756988525391
semantic140, 0.05, 0.5924737410806119, 0.6543724343180656, 0.46493709087371826, 0.7753973603248596
semantic140, 0.1, 0.5942603486683223, 0.7107188574969766, 0.4998375177383423, 0.7643400430679321
semantic140, 0.5, 0.5740614880424982, 0.7217372390627864, 0.4620211124420166, 0.7747063040733337
semantic140, 1.0, 0.5744701283227188, 0.7183971096575261, 0.4641771614551544, 0.7677954435348511
semantic140, 1e-04, 0.6301762369275098, 0.676637473702431, 0.5135375261306763, 0.7394609451293945
semantic140, 0.0005, 0.6129947391152384, 0.7083455778658392, 0.48609670996665955, 0.758811354637146
semantic140, 0.001, 0.6022644253075125, 0.7228903841972353, 0.5022958517074585, 0.7608845829963684
semantic140, 0.005, 0.6303583748638634, 0.6109377391636373, 0.48247766494750977, 0.758811354637146
semantic140, 0.01, 0.606651607193053, 0.6478206937760118, 0.5002521276473999, 0.7477539777755737
semantic140, 0.05, 0.5739432286564263, 0.6470845197141175, 0.48142826557159424, 0.7574291825294495
semantic140, 0.1, 0.5953951590228829, 0.7142883661389353, 0.4576463997364044, 0.7816171646118164
semantic140, 0.5, 0.5842531522479841, 0.7401476901769639, 0.4624386131763458, 0.7781617045402527
semantic140, 1.0, 0.5862195605412129, 0.7040763729810717, 0.5052759647369385, 0.7449896335601807
semantic140, 1e-04, 0.6468569380044938, 0.6265820945799352, 0.5355885624885559, 0.7277125120162964
semantic140, 0.0005, 0.6152681574225425, 0.7244282917678356, 0.5183125138282776, 0.7284035682678223
semantic140, 0.001, 0.6147777557373049, 0.7180516070127486, 0.5154879093170166, 0.7463718056678772
semantic140, 0.005, 0.6033380294591192, 0.6229089879989629, 0.48764854669570923, 0.7622667551040649
semantic140, 0.01, 0.5991328421235086, 0.6465648818016054, 0.5077865719795227, 0.7519004940986633
semantic140, 0.05, 0.601023961789906, 0.6350828220695262, 0.4832214415073395, 0.7574291825294495
semantic140, 0.1, 0.5560076804284472, 0.7240606760978702, 0.47811201214790344, 0.7767795324325562
semantic140, 0.5, 0.5964835436572321, 0.7362473323941231, 0.4542173147201538, 0.7767795324325562
semantic140, 1.0, 0.6410493244370447, 0.7265702897310254, 0.4522356390953064, 0.789219081401825
semantic140, 1e-04, 0.6434791725873948, 0.6465796000510455, 0.5045865178108215, 0.7484450340270996
semantic140, 0.0005, 0.6269247487187389, 0.6580801388621333, 0.5205252766609192, 0.7519004940986633
semantic140, 0.001, 0.6257874864339832, 0.6471224679797889, 0.49233323335647583, 0.7629578709602356
